uid,review_date,salary_fairness,compensation_competitiveness,benefits_adequacy,workload_balance,schedule_flexibility,leave_policies_adequacy,mission_values_meaningful,positive_inclusive_culture,company_values_alignment,diversity_hiring_promotion,employees_feel_included,respectful_welcoming_environment,professional_growth_opportunities,training_skill_development,clear_career_paths,manager_communication_clarity,raising_concerns_comfortability,manager_support_for_employees,free_text_box
a20171af-0819-4ab7-beaa-773e896a779b,2023-04-13,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,The workload is unhappy and I have a unhappy work-life balance.
c49d7b0d-b00a-4bb5-b9af-7f00f4477fc8,2024-03-11,3,3,3,3,4,4,4,4,4,5,4,4,4,3,3,3,4,3,The training provided is standard. It serves its purpose.
6b2c37c7-7eb5-43b1-8bd8-21940c19ba1e,2023-09-28,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,There's a mess culture and a mess of respect.
a7dd8484-0137-4a73-8dc0-ea1f42d68ece,2023-04-17,4,3,4,4,3,3,3,4,4,5,5,4,3,4,4,3,3,4,Everything is just acceptable. There's nothing much to say.
6b1c4d96-d9ea-4f16-9e64-a24bbc9b8750,2023-03-13,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,"My contributions feel completely mess, and I am not mess for my work."
bd28c03b-f200-4bae-837e-32c1c2b74d0d,2024-12-01,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,There's a stagnant culture and a stagnant of respect.
1f96dce9-7359-47d0-9bea-1d9e7ae4247a,2023-01-21,3,4,4,3,3,4,4,3,4,3,3,2,3,3,4,4,4,4,I find the level of autonomy to be typical.
c1d3bb90-ef1f-4352-8d77-24da2d640bd6,2024-09-06,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,There's a problem culture and a problem of respect.
ea4c2630-3bef-44f6-b2fd-24f9ae36f6ea,2023-05-02,4,4,3,4,3,4,3,4,4,4,3,2,3,4,3,3,4,4,My job is fine. The responsibilities are fine.
e9b50a54-061e-41e4-b495-978d6eaf1fe8,2024-04-11,3,4,3,4,4,4,3,3,3,4,4,2,4,3,3,3,3,3,My job is normal. The responsibilities are normal.
98e3cac2-47c9-482b-8095-47f40fd3727e,2023-08-03,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,I feel proud about my job. The team is proud.
18d20651-baa2-46e0-af35-e06ff77852c2,2023-11-27,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,The workload is stagnant and I have a stagnant work-life balance.
201cd5ee-759f-4ec3-8408-dc955e40d0c2,2024-04-03,4,5,4,5,4,5,5,4,4,5,3,3,5,5,5,5,4,5,I'm truly happy with the recognition I've received.
38231abb-2581-4715-a541-77b6b2625172,2023-03-29,3,3,3,3,4,3,4,3,3,3,4,4,3,4,4,3,3,3,The company's approach to innovation is quite regular.
7a7d89d1-1f84-4edb-b187-7bc749227674,2024-01-08,4,4,5,5,4,5,4,5,4,5,5,4,5,5,5,4,4,4,I'm truly happy with the recognition I've received.
debf712b-ffcf-44c8-9298-ce97dc90f2d6,2023-04-10,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,4,4,My job is adequate. The responsibilities are adequate.
1a5f3c14-dedb-4fe1-8a5e-8aea8cf5d9a5,2024-10-25,1,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,The recent organizational changes were communicated in a poor manner.
c6a41340-f7b2-44d4-a921-b2d65142a3fa,2023-05-11,4,5,5,4,4,5,5,4,3,5,4,3,4,4,4,5,5,5,The company's mission is happy and I feel aligned with its values.
43969dde-6ea7-4f00-a8be-94e8e9e5a817,2024-10-23,4,5,5,5,5,5,4,4,3,3,4,5,5,4,5,5,5,4,The compensation is valued and I feel valued valued.
80b85c1d-9ec7-4f9d-88ce-0a6a8582c5c7,2023-11-05,4,4,5,4,5,5,5,5,5,5,3,5,4,4,5,5,4,5,I'm truly proud with the recognition I've received.
edd30e6c-ec18-439c-bca3-bae2e9149b7e,2023-12-10,2,2,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,"My contributions feel completely unhappy, and I am not unhappy for my work."
ca74dec7-4538-41ae-ac46-641a4d59da10,2024-05-06,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,The recent organizational changes were communicated in a problem manner.
86db8ac5-d4d0-4177-84c7-9aba8592df4c,2024-02-18,5,5,5,5,5,4,4,4,5,4,5,4,5,5,5,4,5,4,I'm truly valued with the recognition I've received.
baf985cb-a4bf-485c-b8c5-235825c9e56e,2024-01-21,5,5,4,5,5,4,4,5,5,4,4,5,4,4,5,5,4,4,I feel valued about my job. The team is valued.
48c98808-bb63-4bb6-8c07-8464c3d203d1,2023-07-11,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,I've found career progression to be problem and unclear.
7acfdcd5-d4fa-4842-ad97-5ee76a166a0f,2023-10-04,5,5,5,5,4,4,4,5,5,5,4,5,4,4,5,5,5,4,The professional growth opportunities here are great.
0f39f1dc-a76f-460d-9ce6-4b32566777c1,2023-06-10,3,3,4,3,3,3,3,4,3,4,3,5,4,3,3,3,4,4,Performance evaluations are regular and generally follow the same format.
1f692e25-8478-49bb-8066-c477a7a91f9b,2024-04-04,4,3,3,4,4,3,3,3,2,3,3,2,4,3,3,4,3,3,I find the level of autonomy to be fine.
80ecf60a-49ca-4b78-9b28-f796f08ea8e3,2023-11-10,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,The recent organizational changes were communicated in a stagnant manner.
f7ab887b-446f-4ca3-9e17-43a769d37cd9,2023-01-22,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,"My contributions feel completely toxic, and I am not toxic for my work."
081d3197-6200-4c7a-abb9-6c2f69928b6a,2023-09-10,3,4,4,4,4,4,3,4,4,4,4,5,3,4,3,3,3,3,I have mixed feelings. The new policy is regular.
a07b4b32-bafd-4f6a-b423-9157e4b41d5f,2024-07-14,1,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,I've found career progression to be stagnant and unclear.
bfb1e3d1-7a41-43cf-9162-a7b9a26f6023,2024-04-19,4,4,5,4,5,5,4,5,5,5,4,4,5,4,5,5,4,5,The company's mission is enjoy and I feel aligned with its values.
241188a6-6c46-4ff3-bf3f-9c1d60e84abb,2023-02-28,4,3,3,3,3,4,4,3,3,2,4,2,4,3,3,3,3,4,I find the level of autonomy to be expected.
1606237f-b9e9-4677-8a59-daf5a3cade81,2024-05-25,4,5,4,4,5,4,4,5,4,5,4,4,5,5,5,5,5,5,I am great with the company culture.
80df8440-1ec7-4ee4-97c8-179759ef5904,2024-11-12,4,4,4,4,4,4,4,5,5,5,4,4,5,4,5,5,5,4,The workplace environment is great and promotes great collaboration.
ff77275e-d69e-4ed2-94a1-0d927b552b39,2024-04-20,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,I'm unhappy with my salary. It is unhappy for my experience.
eb5f3575-aed1-4aaf-9ad3-9150f048bb5b,2024-11-30,4,4,4,5,4,5,4,4,5,5,5,5,4,5,4,5,5,4,The professional growth opportunities here are excellent.
c880d067-1e31-42a1-9a54-741fbf061a75,2023-07-09,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,I'm unhappy with my salary. It is unhappy for my experience.
7d2544f4-cdbb-4cc8-9ef5-cbdc9721cfe1,2024-11-17,5,4,5,4,5,5,4,5,5,5,4,5,5,5,4,4,4,4,My manager is so fantastic. I am fantastic with the leadership.
1c6d4e12-7cb7-4f77-8a3d-cad08d5dba0e,2024-07-16,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,The tools and resources provided are toxic to perform my job effectively.
378b95b1-2388-4b4c-ba9e-72411517ca8f,2024-07-20,4,4,3,4,4,3,3,3,2,2,4,4,4,4,3,4,4,3,The training provided is typical. It serves its purpose.
05fa9724-9a08-47d8-b67c-22655ec11e7d,2023-09-01,5,4,4,5,4,4,4,5,4,5,5,5,4,4,5,4,5,5,I am enjoy with the company culture.
892a55ab-d837-47c2-990f-ad486e433df4,2024-05-19,2,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,1,1,I've found career progression to be mess and unclear.
8843dfe4-9129-4bbe-8aa9-3bcadecc5228,2023-05-11,5,5,4,4,5,4,5,4,4,4,3,3,5,5,5,5,4,4,The workplace environment is proud and promotes proud collaboration.
d019240c-b178-4f79-8984-e381f4315102,2024-04-29,3,4,3,4,3,3,4,3,4,2,4,4,3,4,4,3,3,3,Performance evaluations are acceptable and generally follow the same format.
a3fa7dc0-ea5d-467e-936a-8e856786d63a,2024-10-08,5,4,5,4,4,5,4,4,4,4,4,4,4,4,5,5,4,5,I am supportive with the company culture.
379c6800-2595-40c0-9756-705e796cca87,2023-01-21,2,1,2,1,1,2,1,1,3,2,2,1,2,1,1,1,1,1,The workload is low and I have a low work-life balance.
d2c2888d-4911-460d-b593-5a8487b604bd,2023-06-16,4,4,3,3,4,4,3,3,3,3,4,4,3,3,3,4,3,4,The training provided is fine. It serves its purpose.
d0c54cb2-916c-43ba-9e3d-7422beced7e7,2023-10-01,1,2,1,1,2,1,2,1,2,1,3,2,1,1,2,2,1,2,"My contributions feel completely low, and I am not low for my work."
eb14d144-d606-47fa-86bb-c9a5e693866f,2024-01-23,4,4,4,4,3,3,3,3,5,3,4,4,3,4,3,4,3,3,The training provided is standard. It serves its purpose.
bf7b47f4-4863-42b1-8194-eb67580432e7,2024-08-23,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,The company's approach to innovation is quite adequate.
0cb73de8-1fb3-4495-8b17-ebfaf3641841,2023-11-12,5,4,4,5,5,5,4,4,5,4,5,4,5,4,4,4,4,4,The workplace environment is happy and promotes happy collaboration.
aa33ae68-9b15-49d6-9b60-b252dfb68e11,2023-01-14,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,I find the level of autonomy to be expected.
b2b9f469-9e88-41aa-bbfd-f8426a58f387,2023-08-30,4,5,5,5,4,5,5,5,3,5,4,4,5,5,4,4,4,4,I am fantastic with the company culture.
8b078f18-353f-457c-9395-d1a31ad6fa12,2023-12-12,3,4,3,3,3,3,3,3,5,2,4,2,4,4,4,3,4,3,I have mixed feelings. The new policy is standard.
e7ed15b6-3d41-4011-9527-ad708c947ccb,2024-07-18,4,3,4,4,3,3,3,4,3,4,3,2,4,3,3,4,4,4,My benefits are adequate and meet my basic needs.
1566a2e5-9891-4816-b48d-9e4320a03dd3,2023-12-06,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,I'm terrible with my salary. It is terrible for my experience.
0612bda9-df38-4f32-9421-ee61b8c36c3c,2023-04-02,4,4,4,5,5,5,4,4,4,4,4,5,4,5,5,4,5,5,I am enjoy with the company culture.
