uid,salary_fairness,compensation_competitiveness,benefits_adequacy,workload_balance,schedule_flexibility,leave_policies_adequacy,workplace_safety_comfort,positive_inclusive_culture,access_to_tools_resources,professional_growth_opportunities,training_skill_development,clear_career_paths,manager_communication_clarity,raising_concerns_comfortability,manager_support_for_employees,job_security_feeling,organizational_financial_stability,open_communication_on_changes,team_collaboration_effectiveness,colleague_respect_support,constructive_conflict_management,clear_job_responsibilities,autonomy_in_role,role_alignment_with_skills,acknowledgement_of_contributions,fair_performance_evaluations,fair_rewards_for_effort,mission_values_meaningful,encouragement_of_innovation,Company_acts_ethically,free_text_box,sentiment_label
a20171af-0819-4ab7-beaa-773e896a779b,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,The workload is unhappy and I have a unhappy work-life balance.,Negative
c49d7b0d-b00a-4bb5-b9af-7f00f4477fc8,3,3,3,3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,4,3,3,4,4,4,4,4,3,4,3,3,The training provided is standard. It serves its purpose.,Neutral
6b2c37c7-7eb5-43b1-8bd8-21940c19ba1e,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,There's a mess culture and a mess of respect.,Negative
a7dd8484-0137-4a73-8dc0-ea1f42d68ece,4,3,4,4,3,3,3,4,3,3,4,4,3,3,4,3,3,4,3,4,4,4,4,3,4,3,4,3,4,4,Everything is just acceptable. There's nothing much to say.,Neutral
6b1c4d96-d9ea-4f16-9e64-a24bbc9b8750,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,"My contributions feel completely mess, and I am not mess for my work.",Negative
bd28c03b-f200-4bae-837e-32c1c2b74d0d,1,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,There's a stagnant culture and a stagnant of respect.,Negative
1f96dce9-7359-47d0-9bea-1d9e7ae4247a,3,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,I find the level of autonomy to be typical.,Neutral
c1d3bb90-ef1f-4352-8d77-24da2d640bd6,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,1,2,There's a problem culture and a problem of respect.,Negative
ea4c2630-3bef-44f6-b2fd-24f9ae36f6ea,4,4,3,4,3,4,4,4,4,3,4,3,3,4,4,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4,My job is fine. The responsibilities are fine.,Neutral
e9b50a54-061e-41e4-b495-978d6eaf1fe8,3,4,3,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,4,4,4,3,4,3,3,3,3,4,4,My job is normal. The responsibilities are normal.,Neutral
98e3cac2-47c9-482b-8095-47f40fd3727e,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,4,5,4,4,5,4,4,5,4,4,5,5,5,5,5,I feel proud about my job. The team is proud.,Positive
18d20651-baa2-46e0-af35-e06ff77852c2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,The workload is stagnant and I have a stagnant work-life balance.,Negative
201cd5ee-759f-4ec3-8408-dc955e40d0c2,4,5,4,5,4,5,4,4,4,5,5,5,5,4,5,4,5,4,5,4,4,5,4,4,4,4,4,5,5,5,I'm truly happy with the recognition I've received.,Positive
38231abb-2581-4715-a541-77b6b2625172,3,3,3,3,4,3,4,3,4,3,4,4,3,3,3,4,3,3,3,4,4,3,4,3,3,4,4,4,3,4,The company's approach to innovation is quite regular.,Neutral
7a7d89d1-1f84-4edb-b187-7bc749227674,4,4,5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,5,4,5,4,4,5,5,5,5,4,4,4,4,I'm truly happy with the recognition I've received.,Positive
debf712b-ffcf-44c8-9298-ce97dc90f2d6,4,4,3,3,3,4,3,3,3,3,3,3,4,4,4,3,3,3,4,3,4,4,3,4,4,3,4,3,4,4,My job is adequate. The responsibilities are adequate.,Neutral
1a5f3c14-dedb-4fe1-8a5e-8aea8cf5d9a5,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,The recent organizational changes were communicated in a poor manner.,Negative
c6a41340-f7b2-44d4-a921-b2d65142a3fa,4,5,5,4,4,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,The company's mission is happy and I feel aligned with its values.,Positive
43969dde-6ea7-4f00-a8be-94e8e9e5a817,4,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,4,4,The compensation is valued and I feel valued valued.,Positive
80b85c1d-9ec7-4f9d-88ce-0a6a8582c5c7,4,4,5,4,5,5,4,5,5,4,4,5,5,4,5,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,I'm truly proud with the recognition I've received.,Positive
edd30e6c-ec18-439c-bca3-bae2e9149b7e,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,"My contributions feel completely unhappy, and I am not unhappy for my work.",Negative
ca74dec7-4538-41ae-ac46-641a4d59da10,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,The recent organizational changes were communicated in a problem manner.,Negative
86db8ac5-d4d0-4177-84c7-9aba8592df4c,5,5,5,5,5,4,5,4,4,5,5,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,5,4,5,5,I'm truly valued with the recognition I've received.,Positive
baf985cb-a4bf-485c-b8c5-235825c9e56e,5,5,4,5,5,4,4,5,4,4,4,5,5,4,4,5,5,5,4,4,5,5,4,4,4,5,4,4,5,5,I feel valued about my job. The team is valued.,Positive
48c98808-bb63-4bb6-8c07-8464c3d203d1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,I've found career progression to be problem and unclear.,Negative
7acfdcd5-d4fa-4842-ad97-5ee76a166a0f,5,5,5,5,4,4,5,5,5,4,4,5,5,5,4,4,5,4,5,5,4,5,5,5,4,5,5,4,4,5,The professional growth opportunities here are great.,Positive
0f39f1dc-a76f-460d-9ce6-4b32566777c1,3,3,4,3,3,3,3,4,3,4,3,3,3,4,4,3,4,3,4,4,4,3,3,4,4,3,3,3,3,4,Performance evaluations are regular and generally follow the same format.,Neutral
1f692e25-8478-49bb-8066-c477a7a91f9b,4,3,3,4,4,3,4,3,3,4,3,3,4,3,3,3,4,4,4,3,3,4,4,3,4,3,4,3,3,3,I find the level of autonomy to be fine.,Neutral
80ecf60a-49ca-4b78-9b28-f796f08ea8e3,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,The recent organizational changes were communicated in a stagnant manner.,Negative
f7ab887b-446f-4ca3-9e17-43a769d37cd9,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,1,1,"My contributions feel completely toxic, and I am not toxic for my work.",Negative
